academic_year,semester,school,jae_course_code,course_name,gender,intake
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C59,INTERACTION DESIGN,M,33
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,FOOD SCIENCE & NUTRITION,F,54
2018,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,MARKETING,M,32
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C59,INTERACTION DESIGN,F,38
2018,S1,SCHOOL OF ENGINEERING,C71,BIOMEDICAL ENGINEERING,M,35
2018,S1,SCHOOL OF ENGINEERING,C51,AERONAUTICAL & AEROSPACE TECHNOLOGY,F,2
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,MOLECULAR BIOTECHNOLOGY,M,17
2018,S1,SCHOOL OF DESIGN,C83,INDUSTRIAL DESIGN,F,18
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,BUSINESS INTELLIGENCE & ANALYTICS,F,22
2018,S1,SCHOOL OF ENGINEERING,C87,ROBOTICS & MECHATRONICS,F,3
2018,S1,SCHOOL OF ENGINEERING,C50,NANOTECHNOLOGY & MATERIALS SCIENCE,F,13
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,CHEMICAL & GREEN TECHNOLOGY,M,21
2016,S1,SCHOOL OF DESIGN,C64,SPATIAL DESIGN,M,30
2016,S1,SCHOOL OF ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,F,18
2016,S1,SCHOOL OF DESIGN,C83,INDUSTRIAL DESIGN,M,22
2016,S1,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,F,75
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,FOOD & BEVERAGE BUSINESS,M,22
2016,S1,SCHOOL OF ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,M,77
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C59,INTERACTION DESIGN,F,32
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C67,HOSPITALITY & TOURISM MANAGEMENT,M,32
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,CHEMICAL & PHARMACEUTICAL TECHNOLOGY,F,51
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C99,MARKETING,F,40
2016,S1,SCHOOL OF BUSINESS MANAGEMENT,C56,FUND MANAGEMENT & ADMINISTRATION,F,30
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,BIOLOGICS & PROCESS TECHNOLOGY,M,20
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C68,BUSINESS ENTERPRISE IT,F,19
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,MEDICINAL CHEMISTRY,M,12
2016,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,BUSINESS INTELLIGENCE & ANALYTICS,F,15
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C61,ANIMATION,F,59
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C60,DIGITAL GAME ART & DESIGN,M,44
2017,S1,SCHOOL OF ENGINEERING,C50,NANOTECHNOLOGY & MATERIALS SCIENCE,M,33
